Facility_ID,Measure_ID,Measure_Name,Compared_to_National,Denominator,Score,Start_Date,End_Date
10016,PSI_08,In-hospital fall-associated fracture rate,No Different Than the National Rate,2756,0.24,7/1/22,6/30/24
10016,PSI_09,Postoperative hemorrhage or hematoma rate,No Different Than the National Rate,727,1.87,7/1/22,6/30/24
10016,PSI_10,Postoperative acute kidney injury requiring dialysis rate,No Different Than the National Rate,293,2.47,7/1/22,6/30/24
10016,PSI_11,Postoperative respiratory failure rate,No Different Than the National Rate,325,13.24,7/1/22,6/30/24
10016,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,No Different Than the National Rate,797,3.68,7/1/22,6/30/24
10016,PSI_13,Postoperative sepsis rate,Worse Than the National Rate,296,10.68,7/1/22,6/30/24
10016,PSI_14,Postoperative wound dehiscence rate,No Different Than the National Rate,156,1.99,7/1/22,6/30/24
10016,PSI_15,Abdominopelvic accidental puncture or laceration rate,No Different Than the National Rate,550,1.13,7/1/22,6/30/24
10016,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,Worse Than the National Value,Not Applicable,1.45,7/1/22,6/30/24
10018,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,Not Available,Not Available,Not Available,4/1/21,3/31/24
10018,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,Number of Cases Too Small,Not Available,Not Available,7/1/23,6/30/24
10018,MORT_30_AMI,Death rate for heart attack patients,Not Available,Not Available,Not Available,7/1/21,6/30/24
10018,MORT_30_CABG,Death rate for CABG surgery patients,Not Available,Not Available,Not Available,7/1/21,6/30/24
10018,MORT_30_COPD,Death rate for COPD patients,Not Available,Not Available,Not Available,7/1/21,6/30/24
10018,MORT_30_HF,Death rate for heart failure patients,Not Available,Not Available,Not Available,7/1/21,6/30/24
10018,MORT_30_PN,Death rate for pneumonia patients,Not Available,Not Available,Not Available,7/1/21,6/30/24
10018,MORT_30_STK,Death rate for stroke patients,Not Available,Not Available,Not Available,7/1/21,6/30/24
10018,PSI_03,Pressure ulcer rate,Number of Cases Too Small,Not Available,Not Available,7/1/22,6/30/24
10018,PSI_04,Death rate among surgical inpatients with serious treatable complications,Not Available,Not Available,Not Available,7/1/22,6/30/24
10018,PSI_06,Iatrogenic pneumothorax rate,No Different Than the National Rate,33,0.21,7/1/22,6/30/24
10018,PSI_08,In-hospital fall-associated fracture rate,No Different Than the National Rate,33,0.27,7/1/22,6/30/24
10018,PSI_09,Postoperative hemorrhage or hematoma rate,No Different Than the National Rate,27,2.32,7/1/22,6/30/24
10018,PSI_10,Postoperative acute kidney injury requiring dialysis rate,Number of Cases Too Small,Not Available,Not Available,7/1/22,6/30/24
10018,PSI_11,Postoperative respiratory failure rate,Number of Cases Too Small,Not Available,Not Available,7/1/22,6/30/24
10018,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,No Different Than the National Rate,27,3.52,7/1/22,6/30/24
10018,PSI_13,Postoperative sepsis rate,Number of Cases Too Small,Not Available,Not Available,7/1/22,6/30/24
10018,PSI_14,Postoperative wound dehiscence rate,Not Available,Not Available,Not Available,7/1/22,6/30/24
10018,PSI_15,Abdominopelvic accidental puncture or laceration rate,Not Available,Not Available,Not Available,7/1/22,6/30/24
10018,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.99,7/1/22,6/30/24
10019,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,No Different Than the National Rate,33,4.5,4/1/21,3/31/24
