Facility_ID,Measure_ID,Measure_Name,Compared_to_National,Score,Number_Patients,Number_Patients_Returned,Start_Date,End_Date
50211,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,19.8,Not Applicable,Not Applicable,7/1/21,6/30/24
50211,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Number of Cases Too Small,Not Available,Not Applicable,Not Applicable,7/1/21,6/30/24
50211,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,16.6,Not Applicable,Not Applicable,7/1/21,6/30/24
50222,EDAC_30_AMI,Hospital return days for heart attack patients,Average Days per 100 Discharges,0.7,123,33,7/1/21,6/30/24
50222,EDAC_30_HF,Hospital return days for heart failure patients,Average Days per 100 Discharges,-10.4,343,100,7/1/21,6/30/24
50222,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,11,380,92,7/1/21,6/30/24
50222,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,14.3,Not Applicable,Not Applicable,7/1/23,6/30/24
50222,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,14,Not Applicable,Not Applicable,1/1/21,12/31/23
50222,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,9.9,Not Applicable,Not Applicable,1/1/23,12/31/23
50222,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,5.5,Not Applicable,Not Applicable,1/1/23,12/31/23
50222,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,1.2,Not Applicable,Not Applicable,1/1/23,12/31/23
50222,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,14.4,Not Applicable,Not Applicable,7/1/21,6/30/24
50222,READM_30_CABG,Rate of readmission for CABG,No Different Than the National Rate,12.1,Not Applicable,Not Applicable,7/1/21,6/30/24
50222,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,18.1,Not Applicable,Not Applicable,7/1/21,6/30/24
50222,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,18.4,Not Applicable,Not Applicable,7/1/21,6/30/24
50222,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Number of Cases Too Small,Not Available,Not Applicable,Not Applicable,7/1/21,6/30/24
50222,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,15.7,Not Applicable,Not Applicable,7/1/21,6/30/24
50224,EDAC_30_AMI,Hospital return days for heart attack patients,Average Days per 100 Discharges,-5,327,87,7/1/21,6/30/24
50224,EDAC_30_HF,Hospital return days for heart failure patients,Fewer Days Than Average per 100 Discharges,-15.3,794,229,7/1/21,6/30/24
50224,EDAC_30_PN,Hospital return days for pneumonia patients,Average Days per 100 Discharges,-4.2,1105,271,7/1/21,6/30/24
50224,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,14.9,Not Applicable,Not Applicable,7/1/23,6/30/24
50224,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,14,Not Applicable,Not Applicable,1/1/21,12/31/23
50224,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,8.5,Not Applicable,Not Applicable,1/1/23,12/31/23
50224,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,4.2,Not Applicable,Not Applicable,1/1/23,12/31/23
50224,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,1,Not Applicable,Not Applicable,1/1/23,12/31/23
50224,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,11.8,Not Applicable,Not Applicable,7/1/21,6/30/24
50224,READM_30_CABG,Rate of readmission for CABG,No Different Than the National Rate,9.5,Not Applicable,Not Applicable,7/1/21,6/30/24
